Date,State,Region,Confirmed,Deaths,Recovered,Active_Cases,Mortality_Rate,Recovery_Rate
2020-04-29,National,Afghanistan,1939,60,252,1627,0.0309,0.13
2020-04-29,National,Albania,766,30,455,281,0.0392,0.594
2020-04-29,National,Algeria,3848,444,1702,1702,0.1154,0.4423
2020-04-29,National,Andorra,743,42,423,278,0.0565,0.5693
2020-04-29,National,Angola,27,2,7,18,0.0741,0.2593
2020-04-29,National,Antigua and Barbuda,24,3,11,10,0.125,0.4583
2020-04-29,National,Argentina,4285,214,1192,2879,0.0499,0.2782
2020-04-29,National,Armenia,1932,30,900,1002,0.0155,0.4658
2020-04-29,National,Austria,15402,580,12779,2043,0.0377,0.8297
2020-04-29,National,Azerbaijan,1766,23,1267,476,0.013,0.7174
2020-04-29,National,Bahamas,80,11,23,46,0.1375,0.2875
2020-04-29,National,Bahrain,2921,8,1455,1458,0.0027,0.4981
2020-04-29,National,Bangladesh,7103,163,150,6790,0.0229,0.0211
2020-04-29,National,Barbados,80,7,39,34,0.0875,0.4875
2020-04-29,National,Belarus,13181,84,2072,11025,0.0064,0.1572
2020-04-29,National,Belgium,47859,7501,11283,29075,0.1567,0.2358
2020-04-29,National,Belize,18,2,9,7,0.1111,0.5
2020-04-29,National,Benin,64,1,33,30,0.0156,0.5156
2020-04-29,National,Bhutan,7,0,5,2,0.0,0.7143
2020-04-29,National,Bolivia,1110,59,117,934,0.0532,0.1054
2020-04-29,National,Bosnia and Herzegovina,1677,65,710,902,0.0388,0.4234
2020-04-29,National,Botswana,23,1,5,17,0.0435,0.2174
2020-04-29,National,Brazil,79685,5513,34132,40040,0.0692,0.4283
2020-04-29,National,Brunei,138,1,124,13,0.0072,0.8986
2020-04-29,National,Bulgaria,1447,64,243,1140,0.0442,0.1679
2020-04-29,National,Burkina Faso,641,43,498,100,0.0671,0.7769
2020-04-29,National,Burma,150,6,27,117,0.04,0.18
2020-04-29,National,Burundi,11,1,4,6,0.0909,0.3636
2020-04-29,National,Cabo Verde,114,1,2,111,0.0088,0.0175
2020-04-29,National,Cambodia,122,0,119,3,0.0,0.9754
2020-04-29,National,Cameroon,1832,61,934,837,0.0333,0.5098
2020-04-29,National,Central African Republic,50,0,10,40,0.0,0.2
2020-04-29,National,Chad,52,2,19,31,0.0385,0.3654
2020-04-29,National,Chile,14885,216,8057,6612,0.0145,0.5413
2020-04-29,National,Colombia,6207,278,1411,4518,0.0448,0.2273
2020-04-29,National,Congo (Brazzaville),207,8,19,180,0.0386,0.0918
2020-04-29,National,Congo (Kinshasa),491,30,59,402,0.0611,0.1202
2020-04-29,National,Costa Rica,713,6,323,384,0.0084,0.453
2020-04-29,National,Croatia,2062,67,1288,707,0.0325,0.6246
2020-04-29,National,Cuba,1467,58,617,792,0.0395,0.4206
2020-04-29,National,Cyprus,843,15,148,680,0.0178,0.1756
2020-04-29,National,Czech Republic,7579,227,3108,4244,0.03,0.4101
2020-04-29,National,Denmark,9008,443,6366,2199,0.0492,0.7067
2020-04-29,National,Diamond Princess,712,13,645,54,0.0183,0.9059
2020-04-29,National,Djibouti,1077,2,599,476,0.0019,0.5562
2020-04-29,National,Dominica,16,0,13,3,0.0,0.8125
2020-04-29,National,Dominican Republic,6652,293,1228,5131,0.044,0.1846
2020-04-29,National,Ecuador,24675,883,1557,22235,0.0358,0.0631
2020-04-29,National,Egypt,5268,380,1335,3553,0.0721,0.2534
2020-04-29,National,El Salvador,377,9,106,262,0.0239,0.2812
2020-04-29,National,Equatorial Guinea,315,1,9,305,0.0032,0.0286
2020-04-29,National,Eritrea,39,0,19,20,0.0,0.4872
2020-04-29,National,Estonia,1666,50,236,1380,0.03,0.1417
2020-04-29,National,Eswatini,91,1,10,80,0.011,0.1099
2020-04-29,National,Ethiopia,130,3,58,69,0.0231,0.4462
2020-04-29,National,Fiji,18,0,12,6,0.0,0.6667
2020-04-29,National,Finland,4906,206,2800,1900,0.042,0.5707
2020-04-29,National,France,165093,24087,48228,92778,0.1459,0.2921
2020-04-29,National,Gabon,276,3,67,206,0.0109,0.2428
2020-04-29,National,Gambia,10,1,8,1,0.1,0.8
2020-04-29,National,Georgia,517,6,178,333,0.0116,0.3443
2020-04-29,National,Germany,161539,6467,120400,34672,0.04,0.7453
2020-04-29,National,Ghana,1671,16,188,1467,0.0096,0.1125
2020-04-29,National,Greece,2576,139,577,1860,0.054,0.224
2020-04-29,National,Grenada,20,0,13,7,0.0,0.65
2020-04-29,National,Guatemala,557,16,62,479,0.0287,0.1113
2020-04-29,National,Guinea,1351,7,313,1031,0.0052,0.2317
2020-04-29,National,Guinea-Bissau,205,1,19,185,0.0049,0.0927
2020-04-29,National,Guyana,78,8,18,52,0.1026,0.2308
2020-04-29,National,Haiti,76,6,8,62,0.0789,0.1053
2020-04-29,National,Holy See,10,0,2,8,0.0,0.2
2020-04-29,National,Honduras,738,66,73,599,0.0894,0.0989
2020-04-29,National,Hungary,2727,300,536,1891,0.11,0.1966
2020-04-29,National,Iceland,1797,10,1656,131,0.0056,0.9215
2020-04-29,National,India,33062,1079,8437,23546,0.0326,0.2552
2020-04-29,National,Indonesia,9771,784,1391,7596,0.0802,0.1424
2020-04-29,National,Iran,93657,5957,73791,13909,0.0636,0.7879
2020-04-29,National,Iraq,2003,92,1346,565,0.0459,0.672
2020-04-29,National,Ireland,20253,1190,13386,5677,0.0588,0.6609
2020-04-29,National,Israel,15834,215,8233,7386,0.0136,0.52
2020-04-29,National,Italy,203591,27682,71252,104657,0.136,0.35
2020-04-29,National,Ivory Coast,1238,14,557,667,0.0113,0.4499
2020-04-29,National,Jamaica,396,7,29,360,0.0177,0.0732
2020-04-29,National,Japan,13895,413,2368,11114,0.0297,0.1704
2020-04-29,National,Jordan,451,8,356,87,0.0177,0.7894
2020-04-29,National,Kazakhstan,3138,25,819,2294,0.008,0.261
2020-04-29,National,Kenya,384,15,129,240,0.0391,0.3359
2020-04-29,National,Kosovo,510,12,93,405,0.0235,0.1824
2020-04-29,National,Kuwait,3740,24,1389,2327,0.0064,0.3714
2020-04-29,National,Kyrgyzstan,729,8,437,284,0.011,0.5995
